,Alternative,Foreign Equity,Foreign Fixed Income,Global Equity,Multi-Class,US Equity,US Fixed Income
AAXJ,0.125,0.875,,,,,
ACWI,,0.75,,,,0.25,
ACWX,0.125,0.75,,0.125,,,
AGG,0.125,,,,,,0.875
AMJ,0.625,,,,0.125,0.25,
AMLP,0.625,,,,0.125,0.25,
AOA,,,,,,1.0,
AOK,,0.25,,0.125,0.125,0.5,
AOM,,0.25,,0.125,,0.625,
AOR,,0.25,,,,0.75,
BAB,0.125,,,,,,0.875
BBH,,,,,,1.0,
BIL,0.25,0.125,0.125,,0.125,,0.375
BIV,0.125,,,,,,0.875
BKF,0.125,0.875,,,,,
BKLN,0.5,,,,,0.125,0.375
BND,0.125,,,,,,0.875
BOND,,,,,,,1.0
BRF,0.125,0.875,,,,,
BSJF,,0.375,,0.125,0.125,0.125,0.25
BSV,0.125,,,,,,0.875
BWX,0.375,,0.5,0.125,,,
BWZ,0.5,0.125,0.25,0.125,,,
CEMB,0.125,,0.625,,,,0.25
CEW,0.125,0.75,0.125,,,,
CHIQ,,1.0,,,,,
CVY,,,,0.125,,0.875,
CWB,,,,,,1.0,
DBA,1.0,,,,,,
DBB,0.5,0.25,,0.25,,,
DBC,1.0,,,,,,
DBE,1.0,,,,,,
DBJP,0.125,0.75,,,0.125,,
DBO,1.0,,,,,,
DBV,0.125,0.75,,0.125,,,
DEM,0.125,0.875,,,,,
DFJ,0.125,0.875,,,,,
DGS,,1.0,,,,,
DGZ,0.625,,,0.375,,,
DIA,0.125,,,,,0.875,
DJP,1.0,,,,,,
DLN,,,,,,1.0,
DOG,0.125,,,,,0.875,
DVY,,,,,,1.0,
DWX,,0.875,,0.125,,,
DXJ,0.125,0.875,,,,,
EBND,0.125,0.375,0.375,,0.125,,
ECH,,0.875,,0.125,,,
ECON,0.125,0.875,,,,,
EDIV,0.125,0.875,,,,,
EEM,0.125,0.875,,,,,
EEMV,0.125,0.875,,,,,
EFA,0.125,0.875,,,,,
EFAV,0.125,0.875,,,,,
EFV,0.125,0.875,,,,,
EFZ,,1.0,,,,,
EIDO,,1.0,,,,,
ELD,0.125,0.625,0.25,,,,
EMB,0.125,,0.5,,0.125,,0.25
EMCB,0.25,0.125,0.5,,,,0.125
EMLC,0.125,0.5,0.25,0.125,,,
EMLP,0.125,,,,0.125,0.75,
EPHE,,1.0,,,,,
EPI,,1.0,,,,,
EPOL,,1.0,,,,,
EPP,,0.75,,0.25,,,
EPU,0.125,0.625,,0.25,,,
ERUS,0.125,0.875,,,,,
EUM,,1.0,,,,,
EWA,0.125,0.625,,0.25,,,
EWC,,0.5,,0.5,,,
EWD,0.125,0.875,,,,,
EWG,0.125,0.875,,,,,
EWH,0.125,0.875,,,,,
EWI,0.125,0.875,,,,,
EWJ,0.125,0.875,,,,,
EWL,0.125,0.875,,,,,
EWM,,1.0,,,,,
EWN,0.125,0.875,,,,,
EWP,0.125,0.875,,,,,
EWQ,0.125,0.875,,,,,
EWS,0.125,0.875,,,,,
EWT,0.125,0.875,,,,,
EWU,0.125,0.875,,,,,
EWW,0.125,0.75,,0.125,,,
EWX,,1.0,,,,,
EWY,0.125,0.875,,,,,
EWZ,0.125,0.875,,,,,
EZA,0.125,0.75,,0.125,,,
EZU,0.125,0.875,,,,,
FCG,,,,0.25,,0.75,
FDL,,,,,,1.0,
FDN,0.125,,,,,0.875,
FEM,0.125,0.875,,,,,
FEZ,0.125,0.875,,,,,
FM,,0.25,,0.25,0.375,0.125,
FRI,0.375,,,0.125,,0.5,
FVD,,,,,,1.0,
FXA,0.125,0.75,,0.125,,,
FXD,0.125,,,,,0.875,
FXE,0.25,0.375,0.375,,,,
FXG,,,,,,1.0,
FXH,,,,,,1.0,
FXI,0.125,0.875,,,,,
FXO,,,,,,1.0,
FXY,0.25,0.125,,,,,0.625
GAL,,0.25,,0.25,0.375,0.125,
GCC,1.0,,,,,,
GDX,0.75,,,0.25,,,
GDXJ,0.75,,,0.25,,,
GLD,0.625,,,0.375,,,
GNR,,0.375,,0.625,,,
GOVT,0.125,,,,,,0.875
GREK,,1.0,,,,,
GSG,1.0,,,,,,
GTAA,,0.25,,0.125,0.5,0.125,
GUNR,,0.375,,0.5,0.125,,
GWL,0.125,0.75,,0.125,,,
GWX,0.125,0.75,,0.125,,,
GXC,0.125,0.875,,,,,
GXG,,0.75,,0.25,,,
HAO,,1.0,,,,,
HDGE,,,,,,1.0,
HDV,,,,,,1.0,
HEDJ,0.125,0.625,,0.25,,,
HYD,,,,,,,1.0
HYEM,0.125,,0.375,,0.125,,0.375
HYG,0.125,0.25,,0.125,,0.5,
HYS,0.25,,,0.125,0.125,,0.5
IAU,0.625,,,0.375,,,
IBB,0.125,,,,,0.875,
ICF,0.5,,,0.125,,0.375,
IDV,,0.875,,0.125,,,
IDX,0.125,0.875,,,,,
IEF,0.125,,,,,,0.875
IEFA,0.125,0.875,,,,,
IEI,0.125,,,,,,0.875
IEMG,0.125,0.875,,,,,
IEO,0.125,,,0.25,,0.625,
IEV,0.125,0.875,,,,,
IEZ,,,,0.25,,0.75,
IFGL,,0.75,,0.25,,,
IGE,0.125,,,0.125,,0.75,
IGF,,0.75,,0.25,,,
IGN,0.25,,,,,0.75,
IJH,,,,,,1.0,
IJJ,,,,,,1.0,
IJK,,,,,,1.0,
IJNK,0.125,0.5,0.375,,,,
IJR,0.125,,,,,0.875,
IJS,0.125,,,,,0.875,
IJT,0.125,,,,,0.875,
ILF,0.125,0.875,,,,,
INDA,,1.0,,,,,
INDY,,1.0,,,,,
INKM,,,,0.375,0.5,0.125,
ITB,,,,,,1.0,
ITM,,,0.125,,,,0.875
ITOT,0.125,,,,,0.875,
IVE,0.125,,,,,0.875,
IVV,0.125,,,,,0.875,
IVW,0.125,,,,,0.875,
IWB,0.125,,,,,0.875,
IWD,0.125,,,,,0.875,
IWF,0.125,,,,,0.875,
IWM,0.125,,,,,0.875,
IWN,0.125,,,,,0.875,
IWO,0.125,,,,,0.875,
IWP,,,,,,1.0,
IWR,,,,,,1.0,
IWS,,,,,,1.0,
IWV,0.125,,,,,0.875,
IXC,,0.125,,0.25,,0.625,
IYE,,,,0.25,,0.75,
IYF,,,,,,1.0,
IYJ,,,,,,1.0,
IYM,,,,0.125,,0.875,
IYR,0.5,,,0.125,,0.375,
IYT,,,,,,1.0,
IYW,0.125,,,,,0.875,
IYZ,0.125,,,,,0.875,
JNK,0.125,0.25,,0.25,,0.25,0.125
KBE,,,,,,1.0,
KBWB,,,,,,1.0,
KIE,,,,,,1.0,
KOL,,0.125,,0.375,,0.5,
KRE,,,,,,1.0,
MBB,0.125,,,,,,0.875
MCHI,,1.0,,,,,
MDIV,0.125,,,,,0.875,
MDY,,,,,,1.0,
MINT,,,,,,,1.0
MLPI,0.625,,,,0.125,0.25,
MLPN,0.625,,,,,0.375,
MOO,,0.125,,0.375,,0.5,
MUB,,,,,0.125,,0.875
NKY,,1.0,,,,,
OEF,0.125,,,,,0.875,
OIH,0.125,,,0.125,,0.75,
OIL,1.0,,,,,,
PALL,0.75,0.125,,0.125,,,
PBJ,,,,,,1.0,
PBP,,,,,,1.0,
PBS,,,,,,1.0,
PBW,,,,,,1.0,
PCEF,0.125,,,0.25,0.125,0.5,
PCY,0.125,,0.5,,0.125,,0.25
PDP,,,,,,1.0,
PEY,,,,,,1.0,
PFF,0.375,0.125,,0.25,,0.125,0.125
PGF,0.375,,,0.125,,0.375,0.125
PGX,0.5,,,0.125,0.125,0.125,0.125
PHB,0.125,0.125,,0.125,0.125,0.125,0.375
PHO,,,,,,1.0,
PID,,0.5,,0.25,,0.25,
PIE,,1.0,,,,,
PIN,0.125,0.875,,,,,
PIZ,,0.625,,0.375,,,
PJP,,,,,,1.0,
PKW,,,,,,1.0,
PPH,,,,,,1.0,
PRF,,,,,,1.0,
PSP,,0.25,,0.125,,0.625,
PSQ,,,,,,1.0,
PWV,0.125,,,,,0.875,
PXH,0.125,0.875,,,,,
PZA,0.125,,,,,,0.875
QQQ,0.125,,,,,0.875,
REM,0.25,,,,,0.75,
RJA,1.0,,,,,,
RJI,1.0,,,,,,
RLY,,0.375,,0.5,,0.125,
RSP,,,,,,1.0,
RSX,0.125,0.875,,,,,
RWM,,,,,,1.0,
RWO,0.125,0.25,,0.125,,0.5,
RWR,0.5,,,0.125,,0.375,
RWX,0.125,0.75,,0.125,,,
SBB,0.125,,,,,0.875,
SCHA,0.125,,,,,0.875,
SCHB,0.125,,,,,0.875,
SCHD,,,,,,1.0,
SCHE,0.125,0.875,,,,,
SCHF,0.125,0.75,,0.125,,,
SCHG,,,,,,1.0,
SCHH,0.625,,,0.125,,0.25,
SCHM,,,,,,1.0,
SCHV,0.125,,,,,0.875,
SCHX,,,,,,1.0,
SCIF,,1.0,,,,,
SCZ,,0.875,,0.125,,,
SDIV,,0.625,,0.25,,0.125,
SDOG,,,,,,1.0,
SDY,,,,,,1.0,
SGOL,0.625,,,0.375,,,
SH,,,,,,1.0,
SHM,,,0.25,,,,0.75
SHV,0.25,0.25,,,,0.125,0.375
SHY,,,,,,,1.0
SIL,0.75,,,0.25,,,
SIVR,0.625,,,0.375,,,
SJNK,,,,0.125,0.25,0.125,0.5
SLV,0.625,,,0.375,,,
SMH,0.125,,,,,0.875,
SOXX,0.125,,,,,0.875,
SPHB,,,,,,1.0,
SPLV,,,,,,1.0,
SPY,0.125,,,,,0.875,
STPZ,,,,,,,1.0
SVXY,0.75,,,,,0.25,
TAN,,,,,,1.0,
TBF,,,,,,,1.0
TDTT,,,,,,,1.0
TFI,,,,,,,1.0
THD,0.125,0.875,,,,,
TIP,0.125,,,,,,0.875
TLT,0.125,,,,,,0.875
TUR,0.125,0.625,,0.25,,,
TZD,,0.25,,0.125,0.375,0.25,
TZE,,0.375,,,0.25,0.375,
TZO,,0.25,,0.125,0.375,0.25,
TZV,,0.375,,0.125,,0.5,
UNG,0.875,,,,,0.125,
USMV,,,,,,1.0,
USO,1.0,,,,,,
UUP,0.25,0.375,0.375,,,,
VB,0.125,,,,,0.875,
VBK,0.125,,,,,0.875,
VBR,0.125,,,,,0.875,
VDC,0.125,,,,,0.875,
VEA,,1.0,,,,,
VEU,,0.875,,0.125,,,
VFH,,,,,,1.0,
VGK,,1.0,,,,,
VGT,0.125,,,,,0.875,
VHT,,,,,,1.0,
VIG,0.125,,,,,0.875,
VIIX,0.75,,,,,0.25,
VIXY,0.625,,,,,0.375,
VNM,,0.75,,0.25,,,
VNQ,0.5,,,,,0.5,
VNQI,0.125,0.75,,0.125,,,
VO,,,,,,1.0,
VOE,,,,,,1.0,
VOO,0.125,,,,,0.875,
VPL,0.125,0.75,,0.125,,,
VPU,0.125,,,0.125,,0.75,
VT,,0.375,,0.125,,0.5,
VTI,0.125,,,,,0.875,
VTIP,,,,,,,1.0
VTV,,,,,,1.0,
VUG,0.125,,,,,0.875,
VV,0.125,,,,,0.875,
VWO,0.125,0.875,,,,,
VXF,0.125,,,,,0.875,
VXUS,0.125,0.625,,0.25,,,
VXX,0.625,,,,,0.375,
VXZ,0.75,,,,,0.25,
VYM,,,,,,1.0,
WIP,0.375,,0.625,,,,
XBI,,,,,,1.0,
XES,,,,0.25,,0.75,
XHB,,,,,,1.0,
XIV,0.625,,,,,0.375,
XLB,,,,0.125,,0.875,
XLE,0.125,,,0.25,,0.625,
XLF,,,,,,1.0,
XLI,,,,,,1.0,
XLK,0.125,,,,,0.875,
XLP,,,,,,1.0,
XLU,0.125,,,0.125,,0.75,
XLV,,,,,,1.0,
XLY,,,,,,1.0,
XME,,0.125,,0.375,,0.5,
XOP,0.125,,,0.25,,0.625,
XRT,,,,,,1.0,
YMLP,0.625,,,,0.125,0.25,
ZIV,0.75,,,,,0.25,
