Ticker,Description,Asset Class,Asset Subclass,,AC Module I/O,Desired Class,Sub Class,Notes
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Foreign Emerging Equity,Foreign Emerging Asia Equity,AAXJ,Intl Equity,Foreign Equity,,
ACWI,iShares MSCI All Country World Index Fund,Global Equity,Global Equity,ACWI,US Equity,Global Equity,,
ACWX,iShares MSCI ACWI ex US Index Fund,Global Equity,Global Foreign Equity,ACWX,Intl Equity,Foreign Equity,,
AGG,iShares Core Total U.S. Bond Market ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,AGG,Fixed Income,US Fixed Income,,
AMJ,Alerian MLP Index ETN,Alternative,Alternative U.S. MLP Equity,AMJ,US Equity,Alternative,,
AMLP,Alerian MLP ETF,Alternative,Alternative U.S. MLP Equity,AMLP,US Equity,Alternative,,
BAB,PowerShares Build America Bond Portfolio,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,BAB,Fixed Income,US Fixed Income,,
BBH,Market Vectors Biotech ETF,U.S. Equity,U.S. Healthcare Sector Equity ,BBH,US Equity,US Equity,,
BIL,SPDR Barclays 1-3 Month T-Bill ETF,U.S. Fixed Income,U.S. Government Bond Fixed Income,BIL,US Equity,US Fixed Income,,
BIV,Vanguard Intermediate-Term Bond ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BIV,Fixed Income,US Fixed Income,,
BKF,iShares MSCI BRIC Index Fund,Foreign Emerging Equity,Foreign Emerging BRIC Equity,BKF,Fixed Income,Foreign Equity,,
BKLN,PowerShares Senior Loan Portfolio,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BKLN,Alternative,US Fixed Income,,
BND,Vanguard Total Bond Market ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BND,Fixed Income,US Fixed Income,,
BOND,PIMCO Total Return Exchange-Traded Fund,U.S. Fixed Income,U.S. Total Bond Fixed Income,BOND,Alternative,US Fixed Income,,
BRF,Market Vectors Brazil Small-Cap ETF,Foreign Emerging Equity,Foreign Emerigng Brazil Small Cap Equity,BRF,US Equity,Foreign Equity,,
BSJF,BulletShares 2015 High Yield Corporate Bond ETF,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BSJF,US Equity,US Fixed Income,,
BSV,Vanguard Short-Term Bond ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income,BSV,Fixed Income,US Fixed Income,,
BWX,SPDR Barclays Intl Treasury Bond,Global Fixed Income,Global Government Bond Fixed Income ,BWX,Fixed Income,Foreign Fixed Income,,
BWZ,SPDR Short Term Intl Treasury Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
CEMB,ishares Emerging Market Corporate Bond,Foreign Fixed Income,,,,Foreign Fixed Income,,
CEW,WisdomTree Dreyfus Emerging Currency Fund,Alternative,Alternative Foreign Emerging Currency,CEW,Alternative,Alternative,,
CHIQ,Global X China Consumer ETF,Foreign Emerging Equity,Foreign Emerging China Equity ,CHIQ,Fixed Income,Foreign Equity,,
CVY,Gunggenheim Multi-Asset Income ETF,U.S. Equity,U.S. Large Cap Value Equity,CVY,US Equity,US Equity,,
