,actual,ln_chg,nrmd_p
AAXJ,Foreign Equity,Foreign Equity,Foreign Equity
ACWI,Global Equity,Foreign Equity,Foreign Equity
ACWX,Foreign Equity,Foreign Equity,Foreign Equity
AGG,US Fixed Income,US Fixed Income,US Fixed Income
AMJ,Alternative,Alternative,Alternative
AMLP,Alternative,Alternative,US Equity
AOA,Multi-Class,US Equity,US Equity
AOK,Multi-Class,US Equity,Multi-Class
AOM,Multi-Class,US Equity,Multi-Class
AOR,Multi-Class,US Equity,Multi-Class
BAB,US Fixed Income,US Fixed Income,US Fixed Income
BBH,US Equity,US Equity,US Equity
BIL,US Fixed Income,US Fixed Income,US Equity
BIV,US Fixed Income,US Fixed Income,US Fixed Income
BKF,Foreign Equity,Foreign Equity,Foreign Equity
BKLN,US Fixed Income,Alternative,US Fixed Income
BND,US Fixed Income,US Fixed Income,US Fixed Income
BOND,US Fixed Income,US Fixed Income,Alternative
BRF,Foreign Equity,Foreign Equity,Foreign Equity
BSJF,US Fixed Income,Foreign Equity,US Fixed Income
BSV,US Fixed Income,US Fixed Income,US Fixed Income
BWX,Foreign Fixed Income,Foreign Fixed Income,US Fixed Income
BWZ,Foreign Fixed Income,Alternative,Alternative
CEMB,Foreign Fixed Income,Foreign Fixed Income,Foreign Fixed Income
CEW,Alternative,Foreign Equity,Foreign Equity
CHIQ,Foreign Equity,Foreign Equity,Foreign Equity
CVY,US Equity,US Equity,Multi-Class
CWB,Alternative,US Equity,US Equity
DBA,Alternative,Alternative,Alternative
DBB,Alternative,Alternative,Foreign Equity
DBC,Alternative,Alternative,Alternative
DBE,Alternative,Alternative,Alternative
DBJP,Foreign Equity,Foreign Equity,Foreign Equity
DBO,Alternative,Alternative,Alternative
DBV,Alternative,Foreign Equity,Foreign Equity
DEM,Foreign Equity,Foreign Equity,Foreign Equity
DFJ,Foreign Equity,Foreign Equity,Multi-Class
DGS,Foreign Equity,Foreign Equity,Foreign Equity
DGZ,Alternative,Alternative,US Fixed Income
DIA,US Equity,US Equity,US Equity
DJP,Alternative,Alternative,Alternative
