,ACWI,AGG,AMLP,BAB,BIV,BKLN,BOND,BRF,BSV,CEW,CHIQ,DBB,DBC,DGZ,DJP,ECH,EFZ,EMB,EMLC,EMLP,EPP,EWA,EWG,EWH,EWL,EWM,EWN,EWQ,EWT,EWX,FCG,FEZ,FM,FXA,FXO,GBATX,GDX,GOVT,GREK,GSG,GTAA,GUNR,HDGE,HDV,HYEM,HYS,ICF,IEF,IEV,IEZ,IGE,IGF,IJNK,ILF,INDA,ITB,IWD,IXC,IYM,IYZ,KRE,LGMAX,MDIV,MINT,MLPI,MOO,MPBLX,MWEFX,PBP,PCEF,PGF,PID,PIFAX,PJP,PPH,PSQ,PWV,RSX,SBB,SCHB,SCHH,SCHX,SCIF,SCZ,SFAAX,SHV,SHY,SIVR,SMH,SPLV,STPZ,TDTT,TOLIX,VDC,VFH,VIG,VNQ,VOE,VOO,VTIP,VV,VYM,WIP,XBI,XES,XHB,ZIV,ac_asint
AAXJ,0.8101799779687189,0.005407378005615748,0.2558807654010633,0.0752623561385064,0.02586366752610736,0.23667405546028997,-0.00044954364241189815,0.6001831305653413,0.03034865422081845,0.5288806621083438,0.7483523805022856,0.2879622390595459,0.35668064787780274,0.01776164869223329,0.31086866426273463,0.4656260346367319,0.7542885048923608,0.05960141608298963,0.40547667043740254,0.3229327856937444,0.8003961576424536,0.7170559342478966,0.6733926388938615,0.7993741527606124,0.5970901388802297,0.6373151214643858,0.655017084385699,0.6623406431394141,0.7681893933158201,0.759956618416291,0.5683705641652421,0.6663034178721339,0.19508023161410937,0.5002998942353014,0.48784991230222374,0.6568359637920911,0.18030029165363803,0.0381921682489722,0.1266151267683856,0.33439177879279236,0.46176390504249665,0.634957266261913,0.5822927940170852,0.5421650206063576,0.07511243412333046,0.26148094258329224,0.49667786572467965,0.1479014711201253,0.7217271710763039,0.6195739055807696,0.6664890420720732,0.6681758056806066,0.11311655901887807,0.7441640615680742,0.4833147991152602,0.40898180143038576,0.7252630132295953,0.7115588660416259,0.6920756766276469,0.6116811536749279,0.47454003648243037,0.7455183403019051,0.347087346276045,0.0003150906902055217,0.28191049331815254,0.6676946829991536,0.7699109712387384,0.7575669741509143,0.4227799601149209,0.5272846807579255,0.2599372345444474,0.7087985985424539,0.018444422330144428,0.4498541499465686,0.4933015772739423,0.6565852184359031,0.695961247591327,0.6752385399623818,0.5909670515490826,0.7051840763121215,0.5035000023303393,0.7083404017375563,0.4805812542115323,0.6757715315515029,0.7321728225923523,0.044693351128889836,0.1187948550914355,0.1286692910838707,0.5509003715927201,0.5516410086227767,-4.4314485696528294e-05,0.006899011112295184,0.6802441655318214,0.5899344890877748,0.5647864480161944,0.7199151353018773,0.5019414484968088,0.7144719899735472,0.6935399772121549,0.016483807413089413,0.7505739750160171,0.6882041810823053,0.14031161528514857,0.33290112555679374,0.6113101931682785,0.46438717270615104,0.3773276047536668,1
ACWX,0.9516661430415514,0.0023448064518719614,0.2908074589940054,0.09036445319562314,0.03200144287916151,0.2936663521480747,0.005720495024005401,0.6500129112175199,0.03420180492903868,0.5905727309566242,0.6398748973287112,0.2980995053538298,0.37086197726874937,0.019810042493756175,0.3349537951214312,0.49724554436311885,0.948654512240063,0.06295695867285434,0.43092857542810825,0.4066391138651675,0.8656926165513259,0.8275235449097947,0.8715536700617208,0.7141142130769318,0.8005586353758974,0.6074211917409693,0.863160951371682,0.8918177535247441,0.662414810201338,0.751773570164374,0.6483570621063144,0.8880706007997294,0.23803585535306981,0.6058646618988193,0.5572255887110851,0.8298992473000094,0.20505443441433602,0.06708548648459256,0.20122517734328227,0.3429785393849438,0.5929278636651099,0.7512385228660985,0.6742719125276293,0.6695081993243983,0.09113172205346487,0.321897530505322,0.5341461216915699,0.1666936121885335,0.9380561976795113,0.6949248658166465,0.7528743803169365,0.8410106643086043,0.18121827914685484,0.805990172198023,0.38658765154503794,0.4609886980882575,0.8321571593612431,0.8251996863183794,0.7842028604181884,0.6842776599370621,0.5061000224636902,0.8745217268878767,0.4588286583241843,2.3923878221254746e-05,0.3006329940687148,0.7175768022700298,0.8855222580980008,0.920082471321428,0.5180727135125219,0.5819272747188426,0.3131237853917328,0.8726898970320947,0.0221671460112024,0.535133302353858,0.5583750276679872,0.7428344428826683,0.7913891422442139,0.7192601919299242,0.6908457825695854,0.8388351664909626,0.5777289307410711,0.8458073913412786,0.3951673891914018,0.849313361091364,0.8267309048581741,0.05898027592982935,0.11652456875887263,0.13817033263859924,0.5871413001148336,0.6795110546115537,-0.0007875723427008818,0.005725769819324045,0.8237119581921506,0.649368133760819,0.6259217397332044,0.8162735367901414,0.5393476474853276,0.8148049328240136,0.842477060965249,0.02048751779776814,0.8586678933888309,0.7691596286056116,0.22919240271797814,0.4082450138015554,0.6937817830343606,0.5100495324993737,0.45131919116742236,1
AIBDX,0.10160038399108073,0.07346571719103012,0.010359215791840626,0.006041533672020427,0.0728103685576893,0.009835994570426942,0.2553063303016311,0.13966764261816567,0.029941920238226838,0.2559448753199578,0.06228905320215006,0.07449694193465506,0.09721712902073387,0.1670756575943524,0.12108380913865158,0.03547542141538118,0.12492040548321293,0.02929132286574887,0.21709884442645333,0.022611902162123165,0.0515810648500713,0.05773883282135106,0.05927303201277867,-0.00013813062620071648,0.08334659529456567,0.002401231959347938,0.04976649788163967,0.060838933455799826,-0.00016905322545768264,0.07528735063475578,0.06307116169468951,0.09102102686587721,0.00561869340138843,0.23634934929489904,0.021189296644598565,0.08501148053350949,0.14804093925251205,0.2108505216310479,0.020406876311878874,0.0709721282272534,0.10211914202541039,0.13278297849804221,0.050468233645008964,0.06848011501702855,0.004393621843631457,0.04966135452417186,0.007520899017559146,0.09722448043241316,0.057450278869496496,0.05376473390359582,0.04377071378127295,0.11652820394187424,0.05469984317804033,0.02192085560498669,0.0075058342302241066,0.005885291507434887,0.0011362892578749006,0.042062542282878645,0.01241446782308242,-0.00018889331672133913,0.006648221662863052,0.05538978743846712,0.04333527080665811,0.020030087409801833,0.011855787104300797,0.05993103131478206,0.013756724796954778,0.04006364829732445,0.016754982699892618,0.06273263801728168,0.009728331371103627,0.07025995766603865,0.12131655728473689,0.011260198706895985,0.00035953924963194606,0.018344004578751183,0.016217573573319433,0.05564780830298799,0.018656007291954158,0.07175126014597433,0.09719976405887121,0.07514831483430962,0.03251357623232898,0.11386211779415656,0.0038647574247057115,-0.00048238889495344495,0.09324937318234683,0.11441221603220064,0.0013661400908969723,0.06205367536658146,0.046711462098149026,0.015980901643583567,0.12027418673854973,0.0102339295639019,0.010277129563824983,0.02386165997203249,0.01511736989336776,0.02597415571105821,0.06370222604597642,0.1498360540642607,0.021515143021920924,0.02112330307185073,0.4248275891420449,0.008735656471834385,0.05769758436171435,0.0048877239144164975,0.033652296457073794,2
AMJ,0.3656268238432886,0.006414517096602124,0.8098738610749878,0.00728523744608589,0.012576541862422519,0.21005372651531307,-0.0016225047250755242,0.2847553753260461,0.003900815905502064,0.22568302515635397,0.26206616876092004,0.1440973797303554,0.20209186786082856,0.013509289944192093,0.17730155984297113,0.2779998755541099,0.32501234019872605,0.14120950845497104,0.13658948507861457,0.5756463621011592,0.3341479621360751,0.3217590742414663,0.27487892425591987,0.25332175552016833,0.28097119631459366,0.2454944881122748,0.2703242633984071,0.28276260247657825,0.2370714189204134,0.3302298616237027,0.36121813933791247,0.2535820184157075,0.04760146848866953,0.21461589920185087,0.32673900748587015,0.3246905373990083,0.05846008710964612,0.009450538284264676,0.056878761883207396,0.20138300185326052,0.28546101283377123,0.23051563766383165,0.2601923050298095,0.3030394259099821,0.029990788146556646,0.23569826471263755,0.2698347343917933,0.05028477451651392,0.3081277063747968,0.36032429566382507,0.3984485693226627,0.36748222192430924,0.017487394662683897,0.3547884998419689,0.0932446013343049,0.2340114700600141,0.37503946665848,0.4026936396025741,0.3599237694866939,0.2841481017425007,0.2081707419680674,0.39248389107960213,0.4246553798528875,0.004183560810580356,0.8473174088974971,0.35191075452881027,0.40134927846932444,0.34085418175090665,0.30948485125961567,0.4625889618125001,0.29604453607116155,0.39236044810521886,0.00858979665102666,0.25026146590157594,0.2328740339168468,0.3188718011924392,0.35569482356550597,0.2961154247780179,0.32946239754621265,0.3708294664598031,0.30881534322124127,0.37012798706265493,0.13801591018809056,0.33182417598031433,0.3547015983224714,-0.0005909850826795182,0.014660966748507143,0.047248918410495166,0.22302877643734775,0.32411464045828886,0.010493528171847677,0.009460824883551822,0.4312006066472137,0.26419827196853973,0.30390200030404235,0.35012133023146674,0.2817558272454108,0.40499451219198235,0.3445200379746878,0.028481360855364457,0.3809154350011016,0.3605864924975395,0.11967967218549858,0.20704048181951107,0.3738377500077805,0.28030353203068814,0.1754340344516273,0
AOA,0.7570584354268364,0.03589032200217068,0.30990596947629556,0.09585169472347022,0.06474506994984974,0.2816913890170252,0.012328465246246312,0.5781680944331165,0.008959381119275744,0.492691975548204,0.5693205985383313,0.27010643388581856,0.32480982049322993,0.016141187325205753,0.2944118242844632,0.4016094592378935,0.7079963373016204,0.08571279260974562,0.36036459613375404,0.47997158776387694,0.6158201976220974,0.5932899326431774,0.6739179562589932,0.4764382889528087,0.5629849766904843,0.4390581016918774,0.6490492240107979,0.6689271759120307,0.43744728345905326,0.5797211169319421,0.5238779259353459,0.674681609577827,0.2539810728549099,0.43476744200675876,0.6442446455589715,0.6570794807441589,0.11660641122016746,0.08137405718839186,0.18485832392798318,0.3140694181156306,0.564836556484826,0.7050788611147654,0.7629152177083468,0.6976095126702775,0.08587353703877376,0.2914208463864809,0.4819527960455948,0.16092580021860525,0.6908836865258579,0.5391414281867742,0.5701886407776278,0.679657006336781,0.135609188383795,0.6041906743614712,0.3346519191939147,0.5467560308866216,0.7236420161926422,0.6441763441377546,0.6597876026088056,0.6028231872751466,0.5316992655229634,0.7473943786519981,0.5745765716703197,-0.0007733000459018147,0.3271625180971527,0.6271691013050673,0.7776083780421321,0.7244636801445654,0.5010196729765042,0.60081577484306,0.2723690196985308,0.6796354881481251,0.0255117949062329,0.46671385747764893,0.38459560096586487,0.6830896865078193,0.6721216905738012,0.5387822920669147,0.7118121846589387,0.9075519973788418,0.6429618467667335,0.9050251464053958,0.34939468233111903,0.6615346303023599,0.7021247457489286,0.0035346683484068775,0.06657428119414632,0.10666108349821923,0.5345700332149707,0.7367587476765247,-0.0007203056336972935,0.005772348907476799,0.6841115798333932,0.5437121962673684,0.6049216790930437,0.7029157479867034,0.5052419412606992,0.7402260582955453,0.9035308852157881,0.014501536540496018,0.7436256836501107,0.6947703104259613,0.24607245488803808,0.412864540226759,0.5487815024371244,0.616086890793121,0.48295235283762883,4
AOK,0.1849954515779637,0.014262722992726684,0.2719629362279201,0.0007596062024090022,-0.00022186886653963178,0.21546186315090587,0.029440710726498676,0.3758621969147903,-6.158791988930545e-05,0.31353303029387913,0.4256720074176237,0.05940073335014051,0.04362345132518408,0.015007240519742893,0.05460984977867145,0.10081089764982532,0.18877576972752874,0.053316393865300515,0.34491262619668406,0.45361541010080175,0.1747729913573549,0.18413570291200487,0.17393170783056833,0.07415000359109003,0.18165894409129968,0.09680854943005412,0.16335056474159892,0.1817084068896433,0.09942553777311203,0.14349486680082857,0.12247489402771983,0.18006728134596117,0.21265716659594003,0.1406951087738616,0.15643981765724047,0.17242505505866434,0.04756064548795125,-0.001533768753980036,0.13711104513593753,0.02673121210569096,0.576338818525685,0.5434707775281735,0.5366408132731146,0.5286251060908396,0.11062774551365018,0.31461754025988253,0.11562811525561045,0.0038236682845306236,0.18729599458333535,0.11691172190190013,0.13343306459679039,0.15740632192565684,0.13346386642026398,0.09644621511092188,0.30025855142696456,0.1019421793540648,0.18367877558701062,0.15261531596731814,0.15879046753883974,0.1360250245421859,0.12895425153823814,0.19078945384687962,0.5748348081487422,0.013657782663777263,0.3092375264951227,0.1751890215880707,0.1983900706504198,0.19939750545707013,0.10735804840185836,0.5241525411512156,0.09232660529294989,0.1761604987047155,2.595503441715774e-05,0.1479300966883499,0.15359483777358163,0.12405097357997974,0.16152986948635917,0.09864761128327781,0.14303214037802547,0.6314123925920544,0.4840904036681377,0.6336403986176184,0.2812437815710279,0.14729011126532043,0.1794009227184865,-0.0006177727543466016,0.00813870094181246,0.10345784283041548,0.07251650065308068,0.5757497342478665,0.05990927378498123,0.04145795704728106,0.17807525473611086,0.12895731706597435,0.152126001285541,0.1848105048017158,0.11076708731455043,0.17411920061867814,0.6263494447900175,0.09217655010277048,0.17537201840328576,0.17894737719734477,0.11030113597860391,0.09196445220977967,0.11263984677273275,0.1248512878125454,0.3850749276321428,4
AOM,0.32666818893665317,0.004661436561594012,0.319916184948026,0.030315287970431593,0.015404809500826233,0.2722968045171371,-0.00040436517694475427,0.527970647361804,0.001192709912920864,0.46340933692634145,0.5526963291715925,0.10436450357128835,0.14483278244576836,0.013474428023931506,0.12882745392842954,0.15331506184811206,0.29783812663836295,0.07143743247600542,0.39756696395106783,0.49547907489819676,0.23845147330848482,0.2538230755445199,0.26289637322640036,0.17964058300932406,0.26941381791126784,0.1958454177683755,0.2626972962452646,0.2760917477805992,0.16826298823943564,0.22707634960317047,0.23937026284229457,0.27963050036365933,0.26123711878547995,0.22785282560515996,0.29710489690214703,0.29733389078858186,0.059595171420145254,0.018235989412978437,0.169782802843213,0.1324319376463674,0.6404805635785866,0.6522679195292305,0.6669473795552722,0.6913072888786234,0.09997340292111723,0.3705734142584073,0.20368755530169524,0.045643417914363105,0.29947578989383883,0.21676544330851066,0.24188552284495002,0.29856615379383666,0.15465661024551003,0.23940230936685214,0.32883216649575575,0.1907393921570717,0.29758853009973474,0.26219174303412784,0.2816092087664934,0.21582579045939398,0.2036793162879803,0.3216881258301386,0.5884083425742606,0.0020811062573939942,0.34554604909150155,0.24916365037724364,0.3257419486946812,0.3205410736146578,0.1387067884650205,0.6097914159434505,0.10911051170525443,0.3161687401466472,0.004355578538931759,0.22794848364468057,0.21528575062147282,0.26424497864983465,0.29285414320406566,0.23171408073447075,0.2537714647653473,0.8326994592464638,0.5820866314994841,0.8347593044650403,0.3399127795306408,0.2910167422697758,0.30609578044082086,0.00023813339929268373,0.028717025763593362,0.11977667084086574,0.18976966674196227,0.7106713327775529,0.01416620422576298,0.030272581481004535,0.2808333723329254,0.23284395569899963,0.24570254368391142,0.28501233618849087,0.19276877264632997,0.2987440413657254,0.8249793984875772,0.05979221824791958,0.3137206934035601,0.2914994058946023,0.10446770357472812,0.17837305640002654,0.22321894590485314,0.22019540667037085,0.46707723132019874,4
AOR,0.5443803411111079,0.011003341407545664,0.3341204779340985,0.056101705371976895,0.020825160641107066,0.3071595895394248,0.0003849543549681034,0.5862287397162431,0.00292710546348518,0.4889713283047433,0.5900777238473558,0.1863026877152324,0.16709372355861463,0.015375701010814313,0.18512865079770802,0.33872250097100054,0.5099702966391506,0.0745675241974636,0.3665602752883663,0.48650830687314484,0.45092022482224137,0.42985057367614443,0.46687866981958115,0.3473854938509221,0.46092759079323353,0.35298316136974695,0.4563000558623078,0.4678361998718811,0.31992507889691923,0.4080933932459416,0.3814980215709137,0.47365827402397886,0.24429383571032137,0.29494794063807817,0.45458138181376995,0.4732686548239724,0.10677728594488634,0.047996081028999105,0.1802746371677919,0.16503185072754878,0.6158638342767746,0.6842733221406321,0.7545696473793415,0.7234336396205803,0.09977757443198265,0.3218563354719668,0.3681286812150423,0.06977239051083939,0.5092368257856669,0.4232913521927816,0.43342357393100583,0.41623170897920647,0.13646369272509118,0.40564252395192046,0.3384037540533813,0.3952461631547155,0.5643278069976415,0.4775104419298093,0.4863008518662071,0.45530266468775205,0.4015768004816993,0.5565183209753979,0.5856417097126059,-0.0001700351294735558,0.34336720974979584,0.48029076497401557,0.5790896628154538,0.5418402378503622,0.3815686281860131,0.6261461265364262,0.19219361528974432,0.5133370601492752,0.003779078960669202,0.3951654442503868,0.3752178478793319,0.48012345068789875,0.5348743658283055,0.3539359109327238,0.5219209538321116,0.9213340279243685,0.6561625467887069,0.919591702443564,0.3683894352463506,0.4503773499235324,0.5440587447989367,-0.0006372638113252282,0.02018350988421136,0.10474543475557163,0.3446028407806153,0.764287332512962,0.0014727298298211622,0.015299561159647146,0.47997172822570333,0.44145035338215877,0.4825484708724951,0.5561284203985366,0.36832703506040143,0.568977753238517,0.9170673081587138,0.03559504347000275,0.5763577144506256,0.5588032645898774,0.16845590794585175,0.29990857641783597,0.41946978313942973,0.45083708090948316,0.47787122325209896,4
ARTGX,0.9059437897922955,0.00793756075996721,0.2961736860671129,0.09112058288879576,0.04103756574991646,0.3035990278905163,0.028650031025000744,0.5467065979766199,0.03176163169196311,0.47399201437591754,0.5436694166026926,0.2123088735346893,0.2512566245397516,0.0018796336984305828,0.22304370752826863,0.44838470243573625,0.871499250354271,0.047889633874564685,0.32899601647966215,0.3985481687916089,0.7709417270067356,0.729108818751733,0.8212669750105903,0.6439111785597171,0.76518654043311,0.510100880966003,0.8288195756827557,0.8387386722129683,0.5760407118611119,0.6739995665970213,0.5504264040464918,0.8315306670599169,0.22352480533141172,0.4709823615282611,0.5956462227817132,0.8387197353105204,0.12509649906626585,0.10732256418792963,0.18217887054328208,0.23932578149687267,0.5268345887032959,0.6705497884392495,0.707917655284486,0.7205283409426126,0.07423584412307338,0.3059518498804229,0.5850090158684489,0.17877838185929718,0.8846966951325159,0.6042151229438453,0.6415638258731038,0.7411294598989777,0.11090722610308723,0.6946616616214293,0.3001875340218493,0.4977412232141398,0.8865053449162152,0.719084190935903,0.7050162137380098,0.7048492056474324,0.5995644275770259,0.8320651794925731,0.45394915435655603,-0.00041549599241430535,0.2953731640314782,0.6000823967157449,0.8992685148129902,0.9310940167041382,0.5060014166848835,0.5744365321096967,0.30700925622820097,0.8236462045183046,0.03315190400414547,0.5973443592076354,0.611577135211951,0.7744852355155414,0.8422617838244606,0.6181094745747722,0.7269337379521568,0.8914658305697072,0.6101053565518683,0.8929915941921539,0.333876687761699,0.7627994361722454,0.865103371402708,0.045067402545296065,0.12644129093300305,0.07650130085240958,0.5969584615903272,0.7481032159122376,0.00015474420925976062,0.0006783708782687192,0.795257108239213,0.7244951094669562,0.7063587382045812,0.8832169991432365,0.585545213137231,0.8599569516330081,0.8986955084009731,0.006182532209046632,0.9008715504481737,0.8343614780821363,0.15777810868133968,0.4565146113720113,0.6019594873674551,0.5576053148415905,0.43635413635742826,3
BBH,0.37693312364906484,0.001321792414033629,0.12926908325762676,0.04250991938231241,0.028302427916668593,0.11988894325794908,0.007850297532662642,0.1865108773170585,0.028156862775286062,0.11728929912389541,0.2317876660535304,0.06519804817466068,0.06269144402453897,-0.0004941374844265045,0.06395277536381194,0.19537742478761422,0.34074797907312493,0.024713679471909833,0.1213196458150656,0.16234923866016793,0.1812624612520286,0.10319535911517963,0.18339661042071753,0.17262097069011817,0.12391796795457144,0.08885066577874179,0.1640821848471271,0.17125907630315962,0.13013641695344924,0.27945297201573815,0.23851747514578292,0.26716045501141295,0.11870847382954752,0.169613700359581,0.20341467755809628,0.36536542395760174,0.048527984801853385,0.04626628264481358,0.05091580978159882,0.0698185544901525,0.28441912063511976,0.2300839991421776,0.3763474287464651,0.37478541561630807,0.025605218653697803,0.1312530007949939,0.10802463002317486,0.07006122517006175,0.22623972372322043,0.2380674453641053,0.1707492164100275,0.32134411903701543,0.06821243465939253,0.1662574427179443,0.08842828292096805,0.192705445882424,0.27808276417588373,0.185828846808196,0.17980734223618433,0.22026656884716234,0.20673611774235412,0.35910801633941725,0.1982967778440483,-0.00017668523115577095,0.1452507457664719,0.2546841498473761,0.33463812361634493,0.21372575271912064,0.2492014111057711,0.2765667806190847,0.0751958538106634,0.2930751056617261,0.02342025686036564,0.5895825110117536,0.2375804673037737,0.42017330876556025,0.3500015978335932,0.23313326760606667,0.3435302466626424,0.46751137243700747,0.2532447792435173,0.4630117935182628,0.1461489903733666,0.27606596460336885,0.3024579147663887,0.019644661987245682,0.04417721342387626,0.01676418936524482,0.2250753278461256,0.3853692230401812,0.0006863161184935684,0.0030620783476261737,0.33561756836786216,0.3247946630095475,0.20616701957713313,0.3934417186705087,0.18308856991891953,0.3597730229523024,0.4543258445560614,-0.0015460685274315544,0.37050115769188086,0.3270829630856724,0.047733830753975526,0.6393011730286624,0.23936186807136484,0.21459390090143637,0.2545600006092893,5
