,Alternative,Foreign Equity,Foreign Fixed Income,Global Equity,Multi-Class,US Equity,US Fixed Income,chosen_class
AAXJ,2.1260982765631558,8.744614049123722,0.0,4.381392659935126,2.1595739810297556,0.0,0.0,Foreign Equity
ACWX,2.5822329580724697,7.425006139656789,0.0,5.099518755437813,4.821978395938116,0.0,0.0,Foreign Equity
AIBDX,3.740141924365421,0.0,2.7717936313966067,0.0,0.0,0.0,3.6872285454357296,Alternative
AMJ,6.169183808270857,0.0,0.0,3.0349528262394747,1.529063382806908,3.2775738402388264,0.0,Alternative
AOA,2.1445188560999933,0.0,0.0,2.1319955848953156,4.287752338782585,9.522093971235218,0.0,US Equity
AOK,1.7102521457051862,0.0,0.0,1.721973087972274,3.556348359271077,7.413954819181488,0.0,US Equity
AOM,1.948280871851211,0.0,0.0,1.9198900514481323,1.897392477966045,10.917291738140669,0.0,US Equity
AOR,4.054077984214188,0.0,0.0,1.9823307961153716,0.0,11.731811264246367,0.0,US Equity
ARTGX,0.0,0.0,0.0,5.011549498733883,2.457804605785428,12.225906185432793,0.0,US Equity
BBH,1.5222253477551526,0.0,0.0,0.0,0.0,11.41060198849049,0.0,US Equity
BIL,1.0424838759098969,3.1314340970014634,0.0,1.0423027971625858,0.0,1.0365818002921043,2.1026112337301335,Foreign Equity
BKF,2.138714869824914,6.756592467583233,0.0,2.2687106924578955,4.303957491307585,2.1270908065489795,0.0,Foreign Equity
BND,0.0,0.0,1.683407807636471,0.0,0.0,0.0,12.458575758088328,US Fixed Income
BSJF,0.0,3.4725226276303514,1.154715970329765,1.2255112053646955,2.3331204897422015,0.0,1.1921715217527469,Foreign Equity
BWX,2.563531980477011,1.1965025645357028,2.9672002874115186,1.2842022884466666,0.0,0.0,2.4489916612714415,Foreign Fixed Income
BWZ,2.693979747767621,5.298196047132821,1.5445730009623428,1.3132417059842054,0.0,0.0,0.0,Foreign Equity
CEMB,1.0476755268664846,1.0508741876964556,4.276926170572746,0.0,0.0,0.0,2.103515330070396,Foreign Fixed Income
CVY,0.0,2.2358958127942214,0.0,0.0,2.205604179264388,14.206483467906544,0.0,US Equity
CWB,1.9574678937222103,0.0,0.0,0.0,3.862970337602653,10.0562590589513,0.0,US Equity
CWI,2.547034597044713,9.60458873708207,0.0,4.985406565142091,2.3827037173312164,0.0,0.0,Foreign Equity
DBA,4.766538881295679,0.0,0.0,3.743821700246598,0.0,2.522226427190367,0.0,Alternative
DBE,6.562633360604528,0.0,0.0,1.4914228857963323,0.0,6.086345113963717,0.0,Alternative
DBJP,1.22072829931373,1.2501253062604465,0.0,1.2052138716370246,3.653592682191234,2.3859416126500044,0.0,Multi-Class
DBO,6.256412636359433,0.0,0.0,1.5106085999531307,0.0,6.122758296753581,0.0,Alternative
