,Alternative,Foreign Equity,Foreign Fixed Income,Global Equity,Multi-Class,US Equity,US Fixed Income,chosen_class
AAXJ,3.0698136632229125,14.474106329390782,0.0,7.392998711030107,3.346143774797674,0.0,0.0,Foreign Equity
ACWX,18.475908081260098,31.3215292195123,0.0,31.20233047281473,14.704829739241175,0.0,0.0,Foreign Equity
AIBDX,0.8540749883343587,0.0,1.0159095737284474,0.0,0.0,0.0,0.7862647956890721,Foreign Fixed Income
AMJ,10.6699743215781,0.0,0.0,1.4322718177528935,0.7380887297500156,2.037181870254752,0.0,Alternative
AOA,3.21790040817481,0.0,0.0,3.11621618456665,6.455312357558013,31.612552893415128,0.0,US Equity
AOK,1.1581529591846058,0.0,0.0,1.190440284601305,2.712403718640008,6.476014464536581,0.0,US Equity
AOM,2.002528545383285,0.0,0.0,1.8757772324203499,1.781490786572781,19.43840246830553,0.0,US Equity
AOR,4.982826665665735,0.0,0.0,2.1672964944869926,0.0,40.06469728927461,0.0,US Equity
ARTGX,0.0,0.0,0.0,23.14446800142857,8.927382666337959,42.328888051136126,0.0,US Equity
BBH,0.7246532716026223,0.0,0.0,0.0,0.0,7.057386787142178,0.0,US Equity
BIL,0.043412434593707375,0.13443731524315022,0.0,0.04322334433293687,0.0,0.037267538862116215,0.10558678918151825,Foreign Equity
BKF,3.1702308330800726,14.073435503319443,0.0,4.5313311902498725,6.570535886479324,3.0775588824713926,0.0,Foreign Equity
BND,0.0,0.0,1.0868993042625272,0.0,0.0,0.0,10.330642905460317,US Fixed Income
BSJF,0.0,0.5140075988859925,0.16802562636332016,0.25526909787110624,0.3643136168668954,0.0,0.21326308000624658,Foreign Equity
BWX,0.665497133040351,0.21862463770011176,1.3594354272203464,0.333578246539465,0.0,0.0,0.5089764403128385,Foreign Fixed Income
BWZ,0.8486329020556223,1.563872967309472,0.7691208713740096,0.37456792469290234,0.0,0.0,0.0,Foreign Equity
CEMB,0.04884901668833629,0.05221332691308849,0.2881075646620679,0.0,0.0,0.0,0.10632843922401805,Foreign Fixed Income
CVY,0.0,4.118806444532492,0.0,0.0,3.7847227760002773,39.561601244130834,0.0,US Equity
CWB,2.0455468883669283,0.0,0.0,0.0,3.8594397324312104,11.833139780413564,0.0,US Equity
CWI,14.368013049194175,30.04090784708182,0.0,21.414700653864337,6.589318226554916,0.0,0.0,Foreign Equity
DBA,2.6793369740956305,0.0,0.0,0.853544956251356,0.0,0.6041949135499434,0.0,Alternative
DBE,11.93773244781486,0.0,0.0,0.6659187279824715,0.0,2.8989803084572427,0.0,Alternative
DBJP,0.24913754435286092,0.28740522289680925,0.0,0.2294936413750455,0.7369320289530111,0.4285023476926818,0.0,Multi-Class
DBO,9.08554904311528,0.0,0.0,0.7021642117822785,0.0,2.9682247489700373,0.0,Alternative
DBV,2.7542774015498956,3.5715951484954327,0.0,3.030975305814441,0.0,0.0,0.0,Foreign Equity
DEM,3.8554687128043006,11.710059533532585,0.0,8.658733903148363,4.071602292663157,3.6896569720799004,0.0,Foreign Equity
DFJ,1.2826571352762883,1.1464318054115412,0.0,2.814242611398853,0.0,2.1202101636721014,0.0,Global Equity
DGS,0.0,8.63006808559523,0.0,2.954580962693363,2.6296257485543517,7.801061263278255,0.0,Foreign Equity
DIA,0.0,0.0,0.0,7.260603416608034,0.0,89.87919199550315,0.0,US Equity
DLN,0.0,0.0,0.0,0.0,10.756667450170022,133.10440534858117,0.0,US Equity
DODWX,0.0,9.518190779177091,0.0,28.774157028973203,10.902134649500956,41.35717736764315,0.0,US Equity
DOG,0.0,0.0,0.0,0.0,10.439788518470248,99.63646652114157,0.0,US Equity
DVY,0.0,0.0,0.0,0.0,0.0,69.70034993891586,0.0,US Equity
DWX,0.0,20.606098086514965,0.0,7.886709092987579,0.0,3.8443733021289006,0.0,Foreign Equity
DXJ,1.3431220103875783,0.9822113451991542,0.0,3.3182674568497275,2.124821357208731,0.9362565616274451,0.0,Global Equity
EAAFX,3.2285941281925594,0.0,0.0,6.410743039373523,11.383612901397804,5.5077281641727005,0.0,Multi-Class
EBND,1.5293476801214525,2.325901550744543,2.1977791435142104,0.0,0.0,0.0,0.0,Foreign Equity
ECON,2.4332906716436042,13.72091669200212,0.0,3.3035454706541607,5.68700183185291,0.0,0.0,Foreign Equity
EDIV,0.0,14.750003813218868,0.0,5.722677889738739,5.327010303763426,0.0,0.0,Foreign Equity
EEM,4.501697655494136,8.726588638061497,0.0,8.86281265325074,7.026891415968179,3.282958053101188,0.0,Global Equity
EEMV,0.0,7.0079335796831534,0.0,3.2647731924796792,3.175911681504947,0.0,0.0,Foreign Equity
EFA,41.63442396175052,32.15351108483198,0.0,24.745912513198373,6.145862017413123,0.0,0.0,Alternative
EFAV,3.5812678446410966,10.39515001110778,0.0,7.7096270322515466,0.0,0.0,0.0,Foreign Equity
EFV,20.078958044716483,55.926634640795506,0.0,23.739842625522563,0.0,0.0,0.0,Foreign Equity
EIDO,0.0,4.276723227830922,0.0,0.7074557231329562,1.4046519372642414,0.0,0.0,Foreign Equity
ELD,2.6325136330278136,3.679138229488497,3.300181754460854,0.0,0.0,0.0,0.0,Foreign Equity
EMCB,0.37535601750933256,0.0,0.7894011140026441,0.0,0.2814684000723809,0.0,0.24300881300130658,Foreign Fixed Income
EPHE,0.0,3.5191596348418046,0.0,0.6208262709950122,1.1959380035513338,0.0,0.0,Foreign Equity
EPI,0.0,13.318039575834995,0.0,1.5042389671778058,2.7962916720023823,0.0,0.0,Foreign Equity
EPOL,2.418924559992056,11.980382881008403,0.0,4.621611277617278,0.0,0.0,0.0,Foreign Equity
EPU,0.0,2.260199007530034,0.0,1.7202180876152422,0.6944084840640637,1.5701350942205963,0.0,Foreign Equity
ERUS,1.4461746318307607,30.020484549272563,0.0,3.1574346006907446,2.917166329332557,0.0,0.0,Foreign Equity
EUM,4.4604912042520874,14.064443077112138,0.0,8.731364884794452,3.772547178002193,3.8009143695056617,0.0,Foreign Equity
EWC,0.0,2.6679439769426363,0.0,6.902701814696224,0.0,13.467860188089766,0.0,US Equity
EWD,4.75142946466039,8.207739814718172,0.0,4.438605784856755,4.951618434527683,2.526906523617069,0.0,Foreign Equity
EWI,4.054044118933841,13.63366802529982,0.0,5.749781563923477,2.6342068605523865,0.0,0.0,Foreign Equity
EWJ,2.795016278500146,1.7182860615296693,0.0,5.418517354083647,3.173413305547393,1.4103330108919037,0.0,Global Equity
EWP,3.770527702702368,12.986333891287112,0.0,5.237788667354204,2.421477553706553,0.0,0.0,Foreign Equity
EWS,2.3137797457149163,1.8562535468979255,0.0,2.647433001337356,1.8778753255686977,7.237262451773136,0.0,US Equity
EWU,7.48419674347776,8.467085378615488,0.0,10.658500565907714,0.0,11.236158127782707,0.0,US Equity
EWW,2.2586735925416344,2.4860614976978765,0.0,5.070396555882094,2.2787965927333707,6.259157515647722,0.0,US Equity
EWY,2.077005736095566,0.0,0.0,2.4011863992676807,1.7092449893654378,8.138316677307674,0.0,US Equity
EWZ,2.241901530430287,9.8112449828032,0.0,8.89307954777712,2.460826230200944,0.0,0.0,Foreign Equity
