Ticker,Description,Exact Class,Asset Class,Asset Subclass,,AC Module I/O
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Asia Equity,AAXJ,Intl Equity
ACWI,iShares MSCI All Country World Index Fund,Global Equity,Global Equity,Global Equity,ACWI,US Equity
ACWX,iShares MSCI ACWI ex US Index Fund,Foreign Equity,Global Equity,Global Foreign Equity,ACWX,Intl Equity
AGG,iShares Core Total U.S. Bond Market ETF,US Fixed Income,U.S. Fixed Income,U.S. Total Bond Fixed Income,AGG,Fixed Income
AMJ,Alerian MLP Index ETN,Alternative,Alternative,Alternative U.S. MLP Equity,AMJ,US Equity
AMLP,Alerian MLP ETF,Alternative,Alternative,Alternative U.S. MLP Equity,AMLP,US Equity
BAB,PowerShares Build America Bond Portfolio,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,BAB,Fixed Income
BBH,Market Vectors Biotech ETF,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,BBH,US Equity
BIL,SPDR Barclays 1-3 Month T-Bill ETF,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,BIL,US Equity
BIV,Vanguard Intermediate-Term Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. Total Bond Fixed Income,BIV,Fixed Income
BKF,iShares MSCI BRIC Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging BRIC Equity,BKF,Fixed Income
BKLN,PowerShares Senior Loan Portfolio,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BKLN,Alternative
BND,Vanguard Total Bond Market ETF,US Fixed Income,U.S. Fixed Income,U.S. Total Bond Fixed Income,BND,Fixed Income
BOND,PIMCO Total Return Exchange-Traded Fund,US Fixed Income,U.S. Fixed Income,U.S. Total Bond Fixed Income,BOND,Alternative
BRF,Market Vectors Brazil Small-Cap ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerigng Brazil Small Cap Equity,BRF,US Equity
BSJF,BulletShares 2015 High Yield Corporate Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,BSJF,US Equity
BSV,Vanguard Short-Term Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. Total Bond Fixed Income,BSV,Fixed Income
BWX,SPDR Barclays Intl Treasury Bond,Foreign Fixed Income,Global Fixed Income,Global Government Bond Fixed Income ,BWX,Fixed Income
BWZ,SPDR Short Term Intl Treasury Bond,Foreign Fixed Income,Foreign Fixed Income,,,
CEMB,ishares Emerging Market Corporate Bond,Foreign Fixed Income,Foreign Fixed Income,,,
CEW,WisdomTree Dreyfus Emerging Currency Fund,Alternative,Alternative,Alternative Foreign Emerging Currency,CEW,Alternative
CHIQ,Global X China Consumer ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging China Equity ,CHIQ,Fixed Income
CVY,Gunggenheim Multi-Asset Income ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,CVY,US Equity
CWB,SPDR Barclays Capital Convertible Bond ETF,Alternative,U.S. Fixed Income,U.S. Convertible Bond Fixed Income,CWB,US Equity
DBA,PowerShares DB Agriculture Fund,Alternative,Alternative,Alternative Commodity Agriculture ,DBA,Alternative
DBB,PowerShares DB Base Metals Fund,Alternative,Alternative,Alternative Commodity Base Metals ,DBB,Fixed Income
DBC,PowerShares DB Commodity Index Tracking Fund,Alternative,Alternative,Alternative Commodity ,DBC,Alternative
DBE,PowerShares DB Energy Fund,Alternative,U.S. Equity,U.S. Energy Sector Equity ,DBE,Alternative
DBJP,iShares MSCI Japan Hedged Equity Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Japan Leveraged Equity,DBJP,US Equity
DBO,PowerShares DB Oil Fund,Alternative,Alternative,Alternative Commodity Oil ,DBO,Alternative
DBV,PowerShares DB G10 Currency Harvest,Alternative,Alternative,Alternative Global Developed Currency,DBV,Alternative
DEM,WisdomTree Emerging Markets Equity Income Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,DEM,Alternative
DFJ,WisdomTree Japan SmallCap Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Japan Small Cap Equity,DFJ,US Equity
DGS,WisdomTree Emerging Market SmallCap Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Small Cap Equity,DGS,Intl Equity
DGZ,PowerShares DB Gold Short ETN,Alternative,Alternative,Alternative Commodity Precious Metals ,DGZ,Alternative
DIA,SPDR Dow Jones Industrial Average ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,DIA,US Equity
DJP,iPath Dow Jones-UBS Commodity Index TR ETN,Alternative,Alternative,Alternative Commodity ,DJP,Alternative
DLN,WisdomTree LargeCap Dividend Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,DLN,US Equity
DOG,ProShares Short Dow30,US Equity,U.S. Equity,U.S. Inverse Equity,DOG,Alternative
DVY,Dow Jones Select Dividend Index Fund,US Equity,U.S. Equity,U.S. Large Cap Value Equity,DVY,US Equity
DWX,SPDR S&P International Dividend ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,DWX,Intl Equity
DXJ,WisdomTree Japan Hedged Equity Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Japan Leveraged Equity,DXJ,Intl Equity
EBND,SPDR Emerging Market Local Bond,Foreign Fixed Income,Foreign Fixed Income,,,
ECH,iShares MSCI Chile Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Chile Equity,ECH,US Equity
ECON,EGShares Dow Jones Emerging Markets Consumer Titans Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Consumer Staples Sector Equity ,ECON,Alternative
EDIV,SPDR S&P Emerging Markets Dividend ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,EDIV,Alternative
EEM,iShares MSCI Emerging Markets Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,EEM,Alternative
EEMV,iShares MSCI Emerging Markets Minimum Volatility Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,EEMV,Alternative
EFA,iShares MSCI EAFE Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFA,Intl Equity
EFAV,iShares MSCI EAFE Minimum Volatility Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFAV,Intl Equity
EFV,iShares MSCI Value Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Large Cap Equity ,EFV,Intl Equity
EFZ,Short iShares MSCI EAFE,Alternative,U.S. Equity,U.S. Inverse Equity,EFZ,US Equity
EIDO,iShares MSCI Indonesia Investable Market Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Indonesia Equity,EIDO,Alternative
ELD,WisdomTree Emerging Markets Local Debt Fund,Foreign Fixed Income,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,ELD,Fixed Income
EMB,JP Morgan Emerging Markets Bond Fund,Foreign Fixed Income,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,EMB,Fixed Income
EMCB,WisdomTree Emerging Market Corporate Bond,Foreign Fixed Income,Foreign Fixed Income,,,
EMLC,Market Vectors Emerging Markets Local Currency Bond ETF,Foreign Fixed Income,Foreign Fixed Income,Foreign Emerging Bond Fixed Income ,EMLC,Alternative
EMLP,First Trust North American Energy Infrastructure Fund,US Equity,Alternative,Alternative U.S. MLP Equity,EMLP,US Equity
EPHE,iShares MSCI Philippines Investable Market Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Philippine Equity,EPHE,Alternative
EPI,WisdomTree India Earnings Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging India Equity,EPI,Fixed Income
EPOL,iShares MSCI Poland Investable Market Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Poland Equity,EPOL,Intl Equity
EPP,iShares MSCI Pacific Ex-Japan Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Pacific ex-Japan Equity,EPP,Alternative
EPU,iShares MSCI All Peru Capped Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Peru Equity,EPU,Alternative
ERUS,iShares MSCI Russia Capped Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Russia Equity,ERUS,Alternative
EUM,ProShares Short iShares MSCI Emerging Markets,Alternative,Foreign Emerging Equity,Foreign Emerging Inverse Equity,EUM,Alternative
EWA,iShares MSCI Australia Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Australia Equity ,EWA,Alternative
EWC,iShares MSCI Canada Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Canada Equity,EWC,Intl Equity
EWD,iShares MSCI Sweden Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Sweden Equity,EWD,Intl Equity
EWG,iShares MSCI Germany Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Germany Equity,EWG,Intl Equity
EWH,iShares MSCI Hong Kong Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Hong Kong Equity,EWH,Alternative
EWI,iShares MSCI Italy Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Italy Equity,EWI,Alternative
EWJ,iShares MSCI Japan Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Japan Equity,EWJ,Intl Equity
EWL,iShares MSCI Switzerland Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Switzerland Equity,EWL,US Equity
EWM,iShares MSCI Malaysia Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Malaysia Equity,EWM,Alternative
EWN,iShares MSCI Netherlands Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Nethrlands Equity ,EWN,Intl Equity
EWP,iShares MSCI Spain Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Spain Equity ,EWP,Intl Equity
EWQ,iShares MSCI France Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed France Equity,EWQ,Intl Equity
EWS,iShares MSCI Singapore Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Singapore Equity,EWS,Alternative
EWT,iShares MSCI Taiwan Index Fund,Foreign Equity,Foreign Developed Equity,Foreign Developed Taiwan Equity,EWT,Intl Equity
